hr,red,datetime
2667,2584,2023-10-28 18:04:08.738255
2863,2463,2023-10-28 18:04:08.763807
3797,2852,2023-10-28 18:04:09.871294
3795,2852,2023-10-28 18:04:09.892960
3793,2852,2023-10-28 18:04:09.973794
3794,2852,2023-10-28 18:04:10.044078
3795,2852,2023-10-28 18:04:10.104295
3813,2858,2023-10-28 18:04:10.164858
3809,2857,2023-10-28 18:04:10.225144
3809,2857,2023-10-28 18:04:10.295360
3811,2858,2023-10-28 18:04:10.355513
3814,2859,2023-10-28 18:04:10.406086
3816,2860,2023-10-28 18:04:10.466388
3819,2861,2023-10-28 18:04:10.526613
3821,2862,2023-10-28 18:04:10.587265
3823,2862,2023-10-28 18:04:10.647464
3824,2863,2023-10-28 18:04:10.707659
3825,2863,2023-10-28 18:04:10.767820
3826,2863,2023-10-28 18:04:10.838367
3827,2863,2023-10-28 18:04:10.898593
3827,2863,2023-10-28 18:04:10.961277
3826,2863,2023-10-28 18:04:11.029673
3832,2864,2023-10-28 18:04:11.109667
3832,2864,2023-10-28 18:04:11.170080
3832,2864,2023-10-28 18:04:11.240055
3830,2863,2023-10-28 18:04:11.310620
3830,2863,2023-10-28 18:04:11.381412
3829,2863,2023-10-28 18:04:11.461121
3830,2863,2023-10-28 18:04:11.541667
3830,2863,2023-10-28 18:04:11.622067
3830,2863,2023-10-28 18:04:11.692209
3830,2863,2023-10-28 18:04:11.772866
3831,2863,2023-10-28 18:04:11.842914
3831,2863,2023-10-28 18:04:11.923245
3831,2861,2023-10-28 18:04:11.993226
3831,2861,2023-10-28 18:04:12.063955
3832,2861,2023-10-28 18:04:12.144244
3833,2862,2023-10-28 18:04:12.214452
3833,2862,2023-10-28 18:04:12.284643
3833,2862,2023-10-28 18:04:12.365222
3834,2862,2023-10-28 18:04:12.435564
3834,2862,2023-10-28 18:04:12.515683
3834,2862,2023-10-28 18:04:12.586245
3832,2861,2023-10-28 18:04:12.656520
3827,2860,2023-10-28 18:04:12.736739
3818,2857,2023-10-28 18:04:12.817103
3833,2860,2023-10-28 18:04:12.887584
3832,2859,2023-10-28 18:04:12.977856
3828,2858,2023-10-28 18:04:13.058002
3821,2855,2023-10-28 18:04:13.138536
3813,2853,2023-10-28 18:04:13.228672
3810,2852,2023-10-28 18:04:13.309439
3812,2853,2023-10-28 18:04:13.399664
3817,2854,2023-10-28 18:04:13.489916
3821,2856,2023-10-28 18:04:13.580570
3824,2857,2023-10-28 18:04:13.660273
3827,2857,2023-10-28 18:04:13.740665
3827,2857,2023-10-28 18:04:13.831525
3828,2858,2023-10-28 18:04:13.921477
3829,2858,2023-10-28 18:04:14.001880
3830,2858,2023-10-28 18:04:14.092098
3831,2858,2023-10-28 18:04:14.182092
3832,2859,2023-10-28 18:04:14.282121
3833,2859,2023-10-28 18:04:14.362920
3834,2859,2023-10-28 18:04:14.453030
3835,2859,2023-10-28 18:04:14.543800
3835,2858,2023-10-28 18:04:14.633861
3836,2858,2023-10-28 18:04:14.734006
3836,2859,2023-10-28 18:04:14.824204
3836,2858,2023-10-28 18:04:14.914376
3836,2858,2023-10-28 18:04:15.004941
3836,2859,2023-10-28 18:04:15.095300
3836,2858,2023-10-28 18:04:15.195468
3836,2859,2023-10-28 18:04:15.286013
3837,2858,2023-10-28 18:04:15.376318
3837,2858,2023-10-28 18:04:15.467281
3838,2858,2023-10-28 18:04:15.567798
3839,2858,2023-10-28 18:04:15.668323
3840,2859,2023-10-28 18:04:15.768077
3842,2859,2023-10-28 18:04:15.868174
3842,2860,2023-10-28 18:04:15.968700
3844,2860,2023-10-28 18:04:16.068565
3820,2851,2023-10-28 18:04:16.168788
3818,2851,2023-10-28 18:04:16.268983
3819,2851,2023-10-28 18:04:16.379830
3823,2853,2023-10-28 18:04:16.490870
3827,2854,2023-10-28 18:04:16.591064
3830,2855,2023-10-28 18:04:16.691526
3832,2855,2023-10-28 18:04:16.791303
3833,2856,2023-10-28 18:04:16.891272
3839,2857,2023-10-28 18:04:17.002651
3840,2857,2023-10-28 18:04:17.102694
3840,2858,2023-10-28 18:04:17.212051
3840,2857,2023-10-28 18:04:17.312772
3839,2857,2023-10-28 18:04:17.422735
3839,2857,2023-10-28 18:04:17.523004
3840,2857,2023-10-28 18:04:17.623265
3840,2857,2023-10-28 18:04:17.723990
3843,2858,2023-10-28 18:04:17.824619
3844,2859,2023-10-28 18:04:17.934209
3844,2859,2023-10-28 18:04:18.034391
3844,2859,2023-10-28 18:04:18.145120
3844,2858,2023-10-28 18:04:18.265397
3845,2859,2023-10-28 18:04:18.385631
3845,2859,2023-10-28 18:04:18.496252
3844,2858,2023-10-28 18:04:18.616432
3844,2858,2023-10-28 18:04:18.726659
3845,2858,2023-10-28 18:04:18.847610
3846,2858,2023-10-28 18:04:18.957409
3847,2859,2023-10-28 18:04:19.067739
3847,2859,2023-10-28 18:04:19.187904
3845,2857,2023-10-28 18:04:19.342731
3846,2857,2023-10-28 18:04:20.490014
3846,2858,2023-10-28 18:04:20.546831
3847,2858,2023-10-28 18:04:20.603387
3846,2858,2023-10-28 18:04:20.681376
3847,2858,2023-10-28 18:04:20.744787
3847,2858,2023-10-28 18:04:20.804359
3847,2858,2023-10-28 18:04:20.864904
3848,2858,2023-10-28 18:04:20.935189
3848,2858,2023-10-28 18:04:20.996099
3848,2858,2023-10-28 18:04:21.045977
3849,2859,2023-10-28 18:04:21.106263
3849,2859,2023-10-28 18:04:21.166487
3849,2859,2023-10-28 18:04:21.226647
3849,2859,2023-10-28 18:04:21.287208
3850,2859,2023-10-28 18:04:21.347659
3850,2859,2023-10-28 18:04:21.408337
3850,2859,2023-10-28 18:04:21.468390
3848,2858,2023-10-28 18:04:21.528561
3847,2858,2023-10-28 18:04:21.588894
3849,2858,2023-10-28 18:04:21.658942
3848,2858,2023-10-28 18:04:21.729485
3845,2857,2023-10-28 18:04:21.789761
3841,2856,2023-10-28 18:04:21.849991
3838,2855,2023-10-28 18:04:21.910990
3837,2855,2023-10-28 18:04:21.980835
3839,2855,2023-10-28 18:04:22.051053
3841,2856,2023-10-28 18:04:22.121872
3842,2856,2023-10-28 18:04:22.191756
3844,2857,2023-10-28 18:04:22.272047
3844,2857,2023-10-28 18:04:22.342367
3845,2857,2023-10-28 18:04:22.412820
3846,2857,2023-10-28 18:04:22.483174
3840,2856,2023-10-28 18:04:22.553335
3842,2856,2023-10-28 18:04:22.623538
3843,2856,2023-10-28 18:04:22.714042
3844,2857,2023-10-28 18:04:22.784390
3845,2857,2023-10-28 18:04:22.854551
3846,2857,2023-10-28 18:04:22.935159
3847,2857,2023-10-28 18:04:23.005384
3847,2857,2023-10-28 18:04:23.075607
3848,2858,2023-10-28 18:04:23.146432
3847,2858,2023-10-28 18:04:23.216346
3847,2857,2023-10-28 18:04:23.296671
3846,2857,2023-10-28 18:04:23.366845
3847,2857,2023-10-28 18:04:23.447924
3848,2858,2023-10-28 18:04:23.527659
3848,2858,2023-10-28 18:04:23.597982
3848,2858,2023-10-28 18:04:23.667871
3848,2858,2023-10-28 18:04:23.748636
3847,2857,2023-10-28 18:04:23.828957
3847,2857,2023-10-28 18:04:23.909104
3846,2857,2023-10-28 18:04:23.999667
3845,2856,2023-10-28 18:04:24.079971
3844,2857,2023-10-28 18:04:24.160424
3845,2857,2023-10-28 18:04:24.240728
3850,2858,2023-10-28 18:04:24.321005
3849,2858,2023-10-28 18:04:24.401214
3848,2858,2023-10-28 18:04:24.482104
3848,2858,2023-10-28 18:04:24.582232
3848,2858,2023-10-28 18:04:24.662136
3848,2858,2023-10-28 18:04:24.752190
3849,2858,2023-10-28 18:04:24.842872
3850,2859,2023-10-28 18:04:24.932993
3853,2860,2023-10-28 18:04:25.023141
3858,2864,2023-10-28 18:04:25.118406
3857,2864,2023-10-28 18:04:25.233814
3857,2863,2023-10-28 18:04:25.324089
3857,2864,2023-10-28 18:04:25.414321
3857,2863,2023-10-28 18:04:25.514927
3856,2863,2023-10-28 18:04:25.605923
3856,2863,2023-10-28 18:04:25.706086
3856,2863,2023-10-28 18:04:25.795522
3856,2863,2023-10-28 18:04:25.896082
3855,2862,2023-10-28 18:04:25.986426
3856,2863,2023-10-28 18:04:26.086584
