hr,red,datetime
95,104,2023-10-31 10:19:59.692799
123,122,2023-10-31 10:19:59.715790
138,132,2023-10-31 10:19:59.738303
145,136,2023-10-31 10:19:59.754137
149,138,2023-10-31 10:19:59.899923
152,139,2023-10-31 10:19:59.960008
154,139,2023-10-31 10:20:00.020212
154,139,2023-10-31 10:20:00.080371
154,138,2023-10-31 10:20:00.150987
154,139,2023-10-31 10:20:00.221199
154,139,2023-10-31 10:20:00.281683
154,138,2023-10-31 10:20:00.351563
155,139,2023-10-31 10:20:00.412151
155,139,2023-10-31 10:20:00.472470
155,139,2023-10-31 10:20:00.532586
156,139,2023-10-31 10:20:00.593885
157,139,2023-10-31 10:20:00.663416
156,139,2023-10-31 10:20:00.733603
156,139,2023-10-31 10:20:00.803749
156,139,2023-10-31 10:20:00.884338
156,139,2023-10-31 10:20:00.964569
156,139,2023-10-31 10:20:01.044805
157,139,2023-10-31 10:20:01.115356
157,139,2023-10-31 10:20:01.195655
157,140,2023-10-31 10:20:01.265852
157,139,2023-10-31 10:20:01.336006
157,139,2023-10-31 10:20:01.407233
157,140,2023-10-31 10:20:01.486813
157,139,2023-10-31 10:20:01.556990
158,140,2023-10-31 10:20:01.637166
158,140,2023-10-31 10:20:01.707687
158,139,2023-10-31 10:20:01.777970
157,139,2023-10-31 10:20:01.848189
158,139,2023-10-31 10:20:01.932257
158,139,2023-10-31 10:20:02.009050
157,139,2023-10-31 10:20:02.089276
157,139,2023-10-31 10:20:02.159412
157,139,2023-10-31 10:20:02.231162
157,139,2023-10-31 10:20:02.310239
156,138,2023-10-31 10:20:02.402547
156,138,2023-10-31 10:20:02.490559
156,138,2023-10-31 10:20:02.571123
156,138,2023-10-31 10:20:02.651224
156,138,2023-10-31 10:20:02.731581
156,138,2023-10-31 10:20:02.812162
157,138,2023-10-31 10:20:02.892458
156,139,2023-10-31 10:20:02.982659
156,139,2023-10-31 10:20:03.062624
156,138,2023-10-31 10:20:03.143434
156,138,2023-10-31 10:20:03.246216
156,138,2023-10-31 10:20:03.323823
156,138,2023-10-31 10:20:03.404107
157,138,2023-10-31 10:20:04.569158
156,138,2023-10-31 10:20:04.634812
156,138,2023-10-31 10:20:04.704835
156,138,2023-10-31 10:20:04.775571
157,138,2023-10-31 10:20:04.855832
157,138,2023-10-31 10:20:04.936065
156,138,2023-10-31 10:20:05.016085
157,138,2023-10-31 10:20:05.098101
156,138,2023-10-31 10:20:05.180532
157,138,2023-10-31 10:20:05.257272
157,138,2023-10-31 10:20:05.337353
157,138,2023-10-31 10:20:05.417807
155,137,2023-10-31 10:20:05.508240
155,137,2023-10-31 10:20:05.598085
155,137,2023-10-31 10:20:05.678829
155,138,2023-10-31 10:20:05.768915
155,138,2023-10-31 10:20:05.849056
155,138,2023-10-31 10:20:05.939135
155,138,2023-10-31 10:20:06.039727
155,138,2023-10-31 10:20:06.130077
155,138,2023-10-31 10:20:06.220226
155,137,2023-10-31 10:20:06.310343
155,137,2023-10-31 10:20:06.400888
155,137,2023-10-31 10:20:06.491199
155,137,2023-10-31 10:20:06.581398
155,137,2023-10-31 10:20:06.671984
155,137,2023-10-31 10:20:06.762215
155,137,2023-10-31 10:20:06.852454
155,137,2023-10-31 10:20:06.943151
156,137,2023-10-31 10:20:07.043136
155,137,2023-10-31 10:20:07.144114
155,137,2023-10-31 10:20:07.233612
155,137,2023-10-31 10:20:07.333752
155,137,2023-10-31 10:20:07.434316
155,137,2023-10-31 10:20:07.524655
155,137,2023-10-31 10:20:07.614829
155,137,2023-10-31 10:20:07.705372
155,137,2023-10-31 10:20:07.805632
155,137,2023-10-31 10:20:07.922451
155,137,2023-10-31 10:20:08.016024
155,137,2023-10-31 10:20:08.116516
155,137,2023-10-31 10:20:08.226812
155,137,2023-10-31 10:20:08.327009
155,137,2023-10-31 10:20:08.427190
156,137,2023-10-31 10:20:08.537697
156,137,2023-10-31 10:20:08.648065
155,137,2023-10-31 10:20:08.758201
155,137,2023-10-31 10:20:08.868762
155,137,2023-10-31 10:20:08.968994
155,137,2023-10-31 10:20:09.079225
156,137,2023-10-31 10:20:09.190312
156,137,2023-10-31 10:20:09.289953
155,137,2023-10-31 10:20:09.401120
156,137,2023-10-31 10:20:09.510409
155,137,2023-10-31 10:20:09.610613
156,137,2023-10-31 10:20:09.721090
155,137,2023-10-31 10:20:09.821283
155,137,2023-10-31 10:20:09.921619
156,137,2023-10-31 10:20:10.032176
156,137,2023-10-31 10:20:10.142490
156,137,2023-10-31 10:20:10.252660
156,137,2023-10-31 10:20:10.352789
156,137,2023-10-31 10:20:10.453365
156,137,2023-10-31 10:20:10.553598
155,137,2023-10-31 10:20:10.653800
156,137,2023-10-31 10:20:10.763978
156,137,2023-10-31 10:20:10.918925
156,137,2023-10-31 10:20:10.979081
156,137,2023-10-31 10:20:11.049149
156,137,2023-10-31 10:20:11.117721
156,137,2023-10-31 10:20:11.190040
156,137,2023-10-31 10:20:11.250215
156,137,2023-10-31 10:20:11.310373
156,137,2023-10-31 10:20:11.370941
156,137,2023-10-31 10:20:11.431239
156,137,2023-10-31 10:20:11.491397
156,137,2023-10-31 10:20:11.561969
156,137,2023-10-31 10:20:11.622235
156,137,2023-10-31 10:20:11.682429
156,137,2023-10-31 10:20:11.742592
156,137,2023-10-31 10:20:11.813142
156,137,2023-10-31 10:20:11.883437
156,137,2023-10-31 10:20:11.963554
156,137,2023-10-31 10:20:12.037240
156,137,2023-10-31 10:20:12.104487
156,137,2023-10-31 10:20:12.184590
156,137,2023-10-31 10:20:12.266120
156,137,2023-10-31 10:20:12.345366
156,137,2023-10-31 10:20:12.415692
156,137,2023-10-31 10:20:12.485876
156,137,2023-10-31 10:20:12.565995
156,137,2023-10-31 10:20:12.636558
156,137,2023-10-31 10:20:12.716832
156,137,2023-10-31 10:20:12.786933
156,137,2023-10-31 10:20:12.867165
156,137,2023-10-31 10:20:12.937699
156,137,2023-10-31 10:20:13.007974
156,137,2023-10-31 10:20:13.078741
156,137,2023-10-31 10:20:13.168828
156,137,2023-10-31 10:20:13.239067
156,137,2023-10-31 10:20:13.322755
156,137,2023-10-31 10:20:13.399285
