hr,red,datetime
97,107,2023-10-31 11:06:32.396118
147,137,2023-10-31 11:06:32.416179
156,144,2023-10-31 11:06:32.435523
158,146,2023-10-31 11:06:32.456206
159,146,2023-10-31 11:06:32.575635
160,147,2023-10-31 11:06:32.635948
161,147,2023-10-31 11:06:32.696131
162,147,2023-10-31 11:06:32.756301
162,147,2023-10-31 11:06:32.816866
162,148,2023-10-31 11:06:32.877717
162,148,2023-10-31 11:06:32.937328
162,148,2023-10-31 11:06:32.997484
162,148,2023-10-31 11:06:33.058054
163,148,2023-10-31 11:06:33.118389
163,148,2023-10-31 11:06:33.178616
163,148,2023-10-31 11:06:33.249148
163,148,2023-10-31 11:06:33.309397
165,149,2023-10-31 11:06:33.379615
165,149,2023-10-31 11:06:33.449720
165,149,2023-10-31 11:06:33.520261
165,149,2023-10-31 11:06:33.600535
165,149,2023-10-31 11:06:33.670702
165,149,2023-10-31 11:06:33.741281
165,149,2023-10-31 11:06:33.821562
165,149,2023-10-31 11:06:33.902477
165,149,2023-10-31 11:06:33.971909
165,149,2023-10-31 11:06:34.042462
165,149,2023-10-31 11:06:34.112737
165,149,2023-10-31 11:06:34.182938
165,149,2023-10-31 11:06:34.263085
165,149,2023-10-31 11:06:34.333622
165,149,2023-10-31 11:06:34.403888
165,149,2023-10-31 11:06:34.474372
165,149,2023-10-31 11:06:34.554686
165,149,2023-10-31 11:06:34.624803
165,149,2023-10-31 11:06:34.695184
165,149,2023-10-31 11:06:34.765338
165,149,2023-10-31 11:06:34.845886
165,149,2023-10-31 11:06:34.916443
165,149,2023-10-31 11:06:34.996352
165,149,2023-10-31 11:06:35.066513
165,148,2023-10-31 11:06:35.145534
165,149,2023-10-31 11:06:35.227324
165,148,2023-10-31 11:06:35.307509
165,148,2023-10-31 11:06:35.378100
165,149,2023-10-31 11:06:35.468449
165,148,2023-10-31 11:06:35.558600
165,148,2023-10-31 11:06:35.639373
165,148,2023-10-31 11:06:35.719318
165,148,2023-10-31 11:06:35.799568
165,148,2023-10-31 11:06:35.889785
165,148,2023-10-31 11:06:35.988977
165,148,2023-10-31 11:06:36.080473
165,148,2023-10-31 11:06:36.170724
165,148,2023-10-31 11:06:36.250970
165,148,2023-10-31 11:06:36.331917
165,148,2023-10-31 11:06:36.411777
165,148,2023-10-31 11:06:36.491982
165,148,2023-10-31 11:06:36.572121
165,148,2023-10-31 11:06:36.662719
165,148,2023-10-31 11:06:36.742982
165,148,2023-10-31 11:06:36.831879
165,148,2023-10-31 11:06:36.913285
165,148,2023-10-31 11:06:37.003717
164,148,2023-10-31 11:06:38.155091
165,147,2023-10-31 11:06:38.233991
165,147,2023-10-31 11:06:38.323993
165,148,2023-10-31 11:06:38.414839
165,148,2023-10-31 11:06:38.494983
165,147,2023-10-31 11:06:38.575066
165,147,2023-10-31 11:06:38.665654
165,147,2023-10-31 11:06:38.755923
165,147,2023-10-31 11:06:38.846179
165,147,2023-10-31 11:06:38.926281
165,147,2023-10-31 11:06:39.026840
165,147,2023-10-31 11:06:39.127106
165,147,2023-10-31 11:06:39.217736
165,147,2023-10-31 11:06:39.317907
165,147,2023-10-31 11:06:39.408143
165,147,2023-10-31 11:06:39.498358
165,148,2023-10-31 11:06:39.588540
165,147,2023-10-31 11:06:39.679081
165,147,2023-10-31 11:06:39.779331
164,147,2023-10-31 11:06:39.869549
164,147,2023-10-31 11:06:39.959680
164,147,2023-10-31 11:06:40.050123
