hr,red,datetime
3139,1679,2023-10-31 10:29:50.129743
3139,1679,2023-10-31 10:29:50.150014
3139,1679,2023-10-31 10:29:50.171992
3139,1680,2023-10-31 10:29:50.190580
3139,1680,2023-10-31 10:29:50.272422
3139,1679,2023-10-31 10:29:50.326276
3139,1679,2023-10-31 10:29:50.382977
3139,1679,2023-10-31 10:29:50.443560
3139,1679,2023-10-31 10:29:50.513903
3138,1679,2023-10-31 10:29:50.574369
3138,1679,2023-10-31 10:29:50.634214
3139,1679,2023-10-31 10:29:50.694768
3138,1679,2023-10-31 10:29:50.755024
3138,1679,2023-10-31 10:29:50.815304
3138,1679,2023-10-31 10:29:50.875845
3138,1679,2023-10-31 10:29:50.946122
3138,1679,2023-10-31 10:29:51.006338
3138,1679,2023-10-31 10:29:51.066516
3137,1679,2023-10-31 10:29:51.133974
3137,1679,2023-10-31 10:29:51.198044
3137,1680,2023-10-31 10:29:51.277535
3137,1679,2023-10-31 10:29:51.348118
3136,1679,2023-10-31 10:29:51.408369
3136,1679,2023-10-31 10:29:51.478681
3136,1679,2023-10-31 10:29:51.549021
3137,1679,2023-10-31 10:29:51.619247
3136,1679,2023-10-31 10:29:51.689662
3136,1679,2023-10-31 10:29:51.759849
3136,1679,2023-10-31 10:29:51.830394
3136,1679,2023-10-31 10:29:51.900683
3136,1679,2023-10-31 10:29:51.980883
3137,1681,2023-10-31 10:29:52.051016
3136,1681,2023-10-31 10:29:52.121678
3136,1681,2023-10-31 10:29:52.191992
3136,1681,2023-10-31 10:29:52.262098
3136,1681,2023-10-31 10:29:52.332519
3136,1681,2023-10-31 10:29:52.403001
3136,1681,2023-10-31 10:29:52.483600
3136,1680,2023-10-31 10:29:52.553327
3136,1681,2023-10-31 10:29:52.634284
3135,1680,2023-10-31 10:29:52.704243
3135,1680,2023-10-31 10:29:52.774371
3136,1681,2023-10-31 10:29:52.864930
3135,1681,2023-10-31 10:29:52.935778
3135,1681,2023-10-31 10:29:53.015420
3135,1681,2023-10-31 10:29:53.096010
3135,1681,2023-10-31 10:29:53.176300
3135,1681,2023-10-31 10:29:53.247132
3135,1682,2023-10-31 10:29:53.336696
3135,1681,2023-10-31 10:29:53.417252
3134,1681,2023-10-31 10:29:53.507555
3134,1681,2023-10-31 10:29:53.587723
3134,1681,2023-10-31 10:29:53.678280
3134,1682,2023-10-31 10:29:53.768389
3134,1681,2023-10-31 10:29:53.848835
3134,1681,2023-10-31 10:29:53.928942
3134,1681,2023-10-31 10:29:54.019510
3134,1681,2023-10-31 10:29:54.109790
3134,1681,2023-10-31 10:29:54.200055
3134,1682,2023-10-31 10:29:54.280724
3134,1682,2023-10-31 10:29:54.370809
3133,1681,2023-10-31 10:29:54.460806
3134,1682,2023-10-31 10:29:54.560859
3134,1683,2023-10-31 10:29:54.661619
3134,1683,2023-10-31 10:29:54.761713
3134,1683,2023-10-31 10:29:54.851873
3134,1683,2023-10-31 10:29:54.942438
3134,1682,2023-10-31 10:29:55.032716
3134,1683,2023-10-31 10:29:55.132965
3134,1683,2023-10-31 10:29:55.233119
3134,1684,2023-10-31 10:29:55.323653
3134,1684,2023-10-31 10:29:55.413988
3134,1684,2023-10-31 10:29:55.504214
3134,1684,2023-10-31 10:29:55.594707
3133,1684,2023-10-31 10:29:55.684954
3133,1683,2023-10-31 10:29:55.785197
3133,1684,2023-10-31 10:29:55.885314
3134,1684,2023-10-31 10:29:55.975954
3133,1684,2023-10-31 10:29:56.086275
3133,1683,2023-10-31 10:29:56.186531
3133,1684,2023-10-31 10:29:56.286980
3133,1684,2023-10-31 10:29:56.387247
3133,1684,2023-10-31 10:29:56.497533
3133,1684,2023-10-31 10:29:56.607664
3133,1684,2023-10-31 10:29:56.718547
3133,1684,2023-10-31 10:29:56.828583
3133,1685,2023-10-31 10:29:56.938560
3136,1688,2023-10-31 10:29:57.039254
3136,1688,2023-10-31 10:29:57.149512
3137,1688,2023-10-31 10:29:57.249800
3136,1688,2023-10-31 10:29:57.350280
3136,1688,2023-10-31 10:29:57.450621
3136,1688,2023-10-31 10:29:57.560897
3136,1688,2023-10-31 10:29:57.661011
3136,1688,2023-10-31 10:29:57.761535
3133,1685,2023-10-31 10:29:57.861811
3133,1686,2023-10-31 10:29:57.961849
3133,1686,2023-10-31 10:29:58.062617
3133,1685,2023-10-31 10:29:58.172848
3133,1686,2023-10-31 10:29:58.273105
3133,1686,2023-10-31 10:29:58.383305
3133,1685,2023-10-31 10:29:58.484168
3134,1688,2023-10-31 10:29:59.659158
3134,1688,2023-10-31 10:29:59.754353
3134,1688,2023-10-31 10:29:59.864895
3133,1687,2023-10-31 10:29:59.965135
3133,1687,2023-10-31 10:30:00.065352
3133,1687,2023-10-31 10:30:00.175496
3133,1687,2023-10-31 10:30:00.286097
3133,1687,2023-10-31 10:30:00.386425
3133,1687,2023-10-31 10:30:00.487041
3133,1687,2023-10-31 10:30:00.651603
3132,1687,2023-10-31 10:30:00.730145
3132,1687,2023-10-31 10:30:00.791821
3132,1687,2023-10-31 10:30:00.841909
3131,1686,2023-10-31 10:30:00.902555
3132,1687,2023-10-31 10:30:00.962899
3132,1687,2023-10-31 10:30:01.024062
3132,1687,2023-10-31 10:30:01.083599
3131,1686,2023-10-31 10:30:01.153900
3131,1686,2023-10-31 10:30:01.214100
3131,1686,2023-10-31 10:30:01.274696
3132,1687,2023-10-31 10:30:01.335697
3132,1687,2023-10-31 10:30:01.395192
3132,1687,2023-10-31 10:30:01.465351
3131,1686,2023-10-31 10:30:01.525980
3131,1687,2023-10-31 10:30:01.586147
3132,1687,2023-10-31 10:30:01.646375
3133,1688,2023-10-31 10:30:01.720609
3133,1688,2023-10-31 10:30:01.797258
3133,1689,2023-10-31 10:30:01.857436
3133,1688,2023-10-31 10:30:01.917629
3133,1689,2023-10-31 10:30:01.988172
3134,1689,2023-10-31 10:30:02.048857
3134,1689,2023-10-31 10:30:02.118669
3133,1689,2023-10-31 10:30:02.189250
3133,1689,2023-10-31 10:30:02.269516
3133,1688,2023-10-31 10:30:02.339720
3134,1689,2023-10-31 10:30:02.419873
3135,1690,2023-10-31 10:30:02.500525
3136,1691,2023-10-31 10:30:02.576547
3134,1690,2023-10-31 10:30:02.640953
3134,1689,2023-10-31 10:30:02.721478
3134,1689,2023-10-31 10:30:02.791808
3133,1689,2023-10-31 10:30:02.862268
3134,1689,2023-10-31 10:30:02.942162
3134,1689,2023-10-31 10:30:03.022723
3134,1690,2023-10-31 10:30:03.093102
3135,1690,2023-10-31 10:30:03.163244
3135,1690,2023-10-31 10:30:03.243814
3135,1690,2023-10-31 10:30:03.314072
3134,1690,2023-10-31 10:30:03.394126
3131,1689,2023-10-31 10:30:03.474440
3131,1688,2023-10-31 10:30:03.545030
3131,1688,2023-10-31 10:30:03.615372
3132,1688,2023-10-31 10:30:03.695549
3132,1689,2023-10-31 10:30:03.776038
3131,1689,2023-10-31 10:30:03.856349
3131,1689,2023-10-31 10:30:03.926559
3132,1689,2023-10-31 10:30:04.006585
3132,1690,2023-10-31 10:30:04.087304
3132,1689,2023-10-31 10:30:04.187652
3132,1690,2023-10-31 10:30:04.267800
3131,1690,2023-10-31 10:30:04.358340
3131,1690,2023-10-31 10:30:04.438605
3131,1690,2023-10-31 10:30:04.519009
3131,1690,2023-10-31 10:30:04.609387
3131,1690,2023-10-31 10:30:04.699675
3131,1690,2023-10-31 10:30:04.789887
3131,1690,2023-10-31 10:30:04.870045
3130,1689,2023-10-31 10:30:04.960621
3130,1689,2023-10-31 10:30:05.050805
3129,1689,2023-10-31 10:30:05.146840
3128,1688,2023-10-31 10:30:05.251556
3129,1689,2023-10-31 10:30:05.341617
3129,1688,2023-10-31 10:30:05.431784
3129,1689,2023-10-31 10:30:05.521965
3129,1689,2023-10-31 10:30:05.622488
3128,1689,2023-10-31 10:30:05.712760
3128,1688,2023-10-31 10:30:05.803009
3129,1688,2023-10-31 10:30:05.893561
3129,1690,2023-10-31 10:30:05.983803
3129,1690,2023-10-31 10:30:06.074018
3130,1690,2023-10-31 10:30:06.164208
3130,1691,2023-10-31 10:30:06.254760
3130,1690,2023-10-31 10:30:06.355334
3129,1690,2023-10-31 10:30:06.455279
3130,1690,2023-10-31 10:30:06.545910
3130,1690,2023-10-31 10:30:06.646111
3132,1693,2023-10-31 10:30:06.772960
3132,1693,2023-10-31 10:30:06.866512
3133,1694,2023-10-31 10:30:06.977045
3132,1694,2023-10-31 10:30:07.077396
3132,1693,2023-10-31 10:30:07.177886
3132,1693,2023-10-31 10:30:07.288078
3132,1693,2023-10-31 10:30:07.398363
3132,1693,2023-10-31 10:30:07.508673
3126,1689,2023-10-31 10:30:07.618773
3126,1689,2023-10-31 10:30:07.719333
3127,1689,2023-10-31 10:30:07.829669
3126,1689,2023-10-31 10:30:07.939804
3126,1689,2023-10-31 10:30:08.050375
3125,1688,2023-10-31 10:30:08.150658
3125,1688,2023-10-31 10:30:08.251136
3127,1690,2023-10-31 10:30:08.358813
3126,1690,2023-10-31 10:30:08.471564
3127,1690,2023-10-31 10:30:08.571985
3126,1690,2023-10-31 10:30:08.672093
3125,1689,2023-10-31 10:30:08.782659
3125,1689,2023-10-31 10:30:08.892917
3125,1689,2023-10-31 10:30:08.993139
3126,1689,2023-10-31 10:30:09.103720
3131,1694,2023-10-31 10:30:09.214776
