hr,red,datetime
161,140,2023-11-01 14:44:58.548481
161,140,2023-11-01 14:44:58.566691
159,139,2023-11-01 14:44:59.709009
159,139,2023-11-01 14:44:59.728332
159,138,2023-11-01 14:44:59.809388
159,138,2023-11-01 14:44:59.869286
158,138,2023-11-01 14:44:59.919505
159,138,2023-11-01 14:44:59.980056
159,138,2023-11-01 14:45:00.040290
159,138,2023-11-01 14:45:00.090519
159,138,2023-11-01 14:45:00.150778
159,138,2023-11-01 14:45:00.211220
159,138,2023-11-01 14:45:00.271496
158,138,2023-11-01 14:45:00.331677
159,138,2023-11-01 14:45:00.401833
158,138,2023-11-01 14:45:00.452385
159,138,2023-11-01 14:45:00.523228
159,138,2023-11-01 14:45:00.582921
159,138,2023-11-01 14:45:00.653471
158,138,2023-11-01 14:45:00.723750
159,138,2023-11-01 14:45:00.783933
159,138,2023-11-01 14:45:00.864102
160,139,2023-11-01 14:45:00.924635
160,139,2023-11-01 14:45:00.994883
159,138,2023-11-01 14:45:01.065087
160,138,2023-11-01 14:45:01.125412
158,138,2023-11-01 14:45:01.195791
159,138,2023-11-01 14:45:01.276161
159,139,2023-11-01 14:45:01.356147
159,139,2023-11-01 14:45:01.426911
159,139,2023-11-01 14:45:01.497112
159,139,2023-11-01 14:45:01.577320
160,139,2023-11-01 14:45:01.659688
160,139,2023-11-01 14:45:01.738156
160,139,2023-11-01 14:45:01.808310
160,139,2023-11-01 14:45:01.878531
160,139,2023-11-01 14:45:01.948703
160,139,2023-11-01 14:45:02.019213
160,139,2023-11-01 14:45:02.099565
160,139,2023-11-01 14:45:02.171656
160,139,2023-11-01 14:45:02.240211
160,139,2023-11-01 14:45:02.314043
160,139,2023-11-01 14:45:02.390793
161,139,2023-11-01 14:45:02.460939
161,139,2023-11-01 14:45:02.541470
160,139,2023-11-01 14:45:02.611743
162,140,2023-11-01 14:45:02.682141
162,140,2023-11-01 14:45:02.762087
162,140,2023-11-01 14:45:02.842626
162,140,2023-11-01 14:45:02.923037
162,140,2023-11-01 14:45:02.992944
163,140,2023-11-01 14:45:03.073705
163,140,2023-11-01 14:45:03.154036
163,140,2023-11-01 14:45:03.244135
162,140,2023-11-01 14:45:03.334323
162,141,2023-11-01 14:45:03.424888
163,141,2023-11-01 14:45:03.525221
163,141,2023-11-01 14:45:03.605501
163,141,2023-11-01 14:45:03.695843
163,140,2023-11-01 14:45:03.776090
162,141,2023-11-01 14:45:03.856377
163,141,2023-11-01 14:45:03.946520
162,141,2023-11-01 14:45:04.026932
162,140,2023-11-01 14:45:04.117326
162,140,2023-11-01 14:45:04.207598
162,141,2023-11-01 14:45:04.297296
165,142,2023-11-01 14:45:04.388089
165,142,2023-11-01 14:45:04.468157
165,142,2023-11-01 14:45:04.568317
165,142,2023-11-01 14:45:04.658414
165,142,2023-11-01 14:45:04.759016
165,142,2023-11-01 14:45:04.872978
165,142,2023-11-01 14:45:04.979583
164,142,2023-11-01 14:45:05.070081
164,141,2023-11-01 14:45:05.171600
164,141,2023-11-01 14:45:05.270524
164,141,2023-11-01 14:45:05.360683
164,141,2023-11-01 14:45:05.451237
164,141,2023-11-01 14:45:05.542177
164,141,2023-11-01 14:45:05.642243
164,141,2023-11-01 14:45:05.752499
164,141,2023-11-01 14:45:05.853448
164,141,2023-11-01 14:45:05.953642
164,141,2023-11-01 14:45:06.062833
164,141,2023-11-01 14:45:06.163796
164,141,2023-11-01 14:45:06.264682
164,141,2023-11-01 14:45:06.373941
164,141,2023-11-01 14:45:06.473965
164,141,2023-11-01 14:45:06.584653
164,141,2023-11-01 14:45:06.684912
163,140,2023-11-01 14:45:06.785106
162,140,2023-11-01 14:45:06.885541
163,140,2023-11-01 14:45:06.996006
163,140,2023-11-01 14:45:07.096180
162,140,2023-11-01 14:45:07.196408
163,140,2023-11-01 14:45:07.296781
162,140,2023-11-01 14:45:07.396981
163,140,2023-11-01 14:45:07.497201
163,140,2023-11-01 14:45:07.597962
163,140,2023-11-01 14:45:07.708015
163,141,2023-11-01 14:45:07.818288
163,141,2023-11-01 14:45:07.928547
164,140,2023-11-01 14:45:08.039079
163,140,2023-11-01 14:45:08.139376
164,140,2023-11-01 14:45:08.249588
163,140,2023-11-01 14:45:08.363577
163,141,2023-11-01 14:45:08.480261
163,140,2023-11-01 14:45:08.590529
