hr,red,datetime
3247,2047,2023-11-01 14:38:49.127242
3248,2048,2023-11-01 14:38:49.147819
3249,2049,2023-11-01 14:38:49.166922
3249,2050,2023-11-01 14:38:49.188732
3250,2050,2023-11-01 14:38:49.289381
3250,2051,2023-11-01 14:38:49.349753
3251,2051,2023-11-01 14:38:49.409864
3250,2052,2023-11-01 14:38:49.480504
3251,2053,2023-11-01 14:38:49.540806
3251,2054,2023-11-01 14:38:49.600959
3250,2055,2023-11-01 14:38:49.671519
3249,2057,2023-11-01 14:38:49.731797
3248,2058,2023-11-01 14:38:49.792025
3248,2059,2023-11-01 14:38:49.862268
3248,2061,2023-11-01 14:38:49.922761
3249,2062,2023-11-01 14:38:49.983000
3249,2063,2023-11-01 14:38:50.053279
3265,2075,2023-11-01 14:38:50.113808
3264,2074,2023-11-01 14:38:50.174072
3263,2074,2023-11-01 14:38:50.234290
3263,2072,2023-11-01 14:38:50.304447
3262,2072,2023-11-01 14:38:50.375003
3262,2071,2023-11-01 14:38:50.435327
3261,2070,2023-11-01 14:38:50.515544
3261,2069,2023-11-01 14:38:50.588150
3262,2068,2023-11-01 14:38:50.666614
3262,2067,2023-11-01 14:38:50.736605
3263,2067,2023-11-01 14:38:50.816730
3264,2067,2023-11-01 14:38:50.887215
3264,2066,2023-11-01 14:38:50.967656
3257,2064,2023-11-01 14:38:51.047820
3257,2064,2023-11-01 14:38:51.128361
3257,2064,2023-11-01 14:38:51.208896
3257,2063,2023-11-01 14:38:51.278875
3257,2063,2023-11-01 14:38:51.348964
3257,2064,2023-11-01 14:38:51.429565
3257,2064,2023-11-01 14:38:51.500902
3257,2064,2023-11-01 14:38:51.580103
3257,2064,2023-11-01 14:38:51.660652
3256,2064,2023-11-01 14:38:51.760970
3256,2064,2023-11-01 14:38:51.831173
3251,2063,2023-11-01 14:38:51.911199
3250,2063,2023-11-01 14:38:51.991891
3251,2063,2023-11-01 14:38:52.072226
3251,2063,2023-11-01 14:38:52.152320
3250,2064,2023-11-01 14:38:52.232899
3250,2063,2023-11-01 14:38:52.303352
3250,2064,2023-11-01 14:38:52.393407
3250,2064,2023-11-01 14:38:52.483600
3251,2064,2023-11-01 14:38:52.574145
3250,2064,2023-11-01 14:38:52.654475
3264,2078,2023-11-01 14:38:52.744632
3265,2079,2023-11-01 14:38:52.825877
3265,2080,2023-11-01 14:38:52.915511
3266,2080,2023-11-01 14:38:52.995703
3266,2081,2023-11-01 14:38:53.086271
3267,2082,2023-11-01 14:38:53.166564
3268,2084,2023-11-01 14:38:53.246812
3269,2086,2023-11-01 14:38:53.327051
