hr,red,datetime
132,93,2023-11-01 14:40:29.413669
132,92,2023-11-01 14:40:29.432125
132,93,2023-11-01 14:40:29.452849
132,93,2023-11-01 14:40:29.472635
132,93,2023-11-01 14:40:29.664472
132,93,2023-11-01 14:40:29.724557
132,93,2023-11-01 14:40:29.794888
133,93,2023-11-01 14:40:29.864919
132,93,2023-11-01 14:40:29.939825
132,93,2023-11-01 14:40:30.005812
132,93,2023-11-01 14:40:30.075964
132,93,2023-11-01 14:40:30.156532
132,93,2023-11-01 14:40:30.226760
132,93,2023-11-01 14:40:30.315246
132,93,2023-11-01 14:40:30.377083
132,93,2023-11-01 14:40:30.457711
132,93,2023-11-01 14:40:30.537925
132,93,2023-11-01 14:40:30.608101
132,93,2023-11-01 14:40:30.688122
135,95,2023-11-01 14:40:31.903925
135,95,2023-11-01 14:40:31.969063
135,95,2023-11-01 14:40:32.029281
135,95,2023-11-01 14:40:32.089884
135,95,2023-11-01 14:40:32.159978
135,95,2023-11-01 14:40:32.220236
135,95,2023-11-01 14:40:32.290503
136,95,2023-11-01 14:40:32.371040
136,95,2023-11-01 14:40:32.441281
137,96,2023-11-01 14:40:32.511472
138,96,2023-11-01 14:40:32.571616
138,97,2023-11-01 14:40:32.642176
138,96,2023-11-01 14:40:32.722432
138,97,2023-11-01 14:40:32.803168
139,96,2023-11-01 14:40:32.872783
138,96,2023-11-01 14:40:32.943385
138,96,2023-11-01 14:40:33.014248
138,96,2023-11-01 14:40:33.087429
138,96,2023-11-01 14:40:33.153970
138,96,2023-11-01 14:40:33.234488
138,96,2023-11-01 14:40:33.304816
138,96,2023-11-01 14:40:33.385009
134,95,2023-11-01 14:40:33.455541
134,95,2023-11-01 14:40:33.526456
134,95,2023-11-01 14:40:33.596013
134,94,2023-11-01 14:40:33.666142
134,95,2023-11-01 14:40:33.736494
135,95,2023-11-01 14:40:33.806936
134,95,2023-11-01 14:40:33.887161
135,95,2023-11-01 14:40:33.957347
135,95,2023-11-01 14:40:34.027932
135,95,2023-11-01 14:40:34.098121
135,95,2023-11-01 14:40:34.168344
135,95,2023-11-01 14:40:34.238658
136,95,2023-11-01 14:40:34.331004
136,95,2023-11-01 14:40:34.419374
135,95,2023-11-01 14:40:34.499526
136,96,2023-11-01 14:40:34.569647
136,96,2023-11-01 14:40:34.659895
136,95,2023-11-01 14:40:34.740529
136,95,2023-11-01 14:40:34.830687
136,95,2023-11-01 14:40:34.921246
136,96,2023-11-01 14:40:35.001494
136,95,2023-11-01 14:40:35.081687
136,95,2023-11-01 14:40:35.177642
136,95,2023-11-01 14:40:35.252354
136,95,2023-11-01 14:40:35.352588
136,95,2023-11-01 14:40:35.442623
136,95,2023-11-01 14:40:35.532581
136,95,2023-11-01 14:40:35.623394
136,95,2023-11-01 14:40:35.713433
136,95,2023-11-01 14:40:35.803571
136,95,2023-11-01 14:40:35.893709
136,95,2023-11-01 14:40:35.997809
136,95,2023-11-01 14:40:36.085433
136,95,2023-11-01 14:40:36.174788
137,95,2023-11-01 14:40:36.275339
136,95,2023-11-01 14:40:36.365589
137,95,2023-11-01 14:40:36.465851
136,96,2023-11-01 14:40:36.555950
136,95,2023-11-01 14:40:36.646502
137,95,2023-11-01 14:40:36.736779
136,96,2023-11-01 14:40:36.826939
137,96,2023-11-01 14:40:36.917175
136,96,2023-11-01 14:40:37.008338
136,95,2023-11-01 14:40:37.117921
137,96,2023-11-01 14:40:37.218075
136,96,2023-11-01 14:40:37.318340
137,96,2023-11-01 14:40:37.428820
137,96,2023-11-01 14:40:37.529084
137,96,2023-11-01 14:40:37.639303
137,96,2023-11-01 14:40:37.739832
137,96,2023-11-01 14:40:37.840129
137,96,2023-11-01 14:40:37.954039
137,96,2023-11-01 14:40:38.060503
137,96,2023-11-01 14:40:38.171042
137,96,2023-11-01 14:40:38.271280
137,96,2023-11-01 14:40:38.371493
138,96,2023-11-01 14:40:38.471681
137,96,2023-11-01 14:40:38.582147
138,96,2023-11-01 14:40:38.692432
137,96,2023-11-01 14:40:38.802659
138,96,2023-11-01 14:40:38.903234
138,96,2023-11-01 14:40:39.013305
137,96,2023-11-01 14:40:39.123603
138,96,2023-11-01 14:40:39.223780
138,96,2023-11-01 14:40:39.324345
138,96,2023-11-01 14:40:39.434625
138,96,2023-11-01 14:40:39.534840
138,96,2023-11-01 14:40:39.634970
138,96,2023-11-01 14:40:39.745541
138,96,2023-11-01 14:40:39.855788
138,96,2023-11-01 14:40:39.992563
138,96,2023-11-01 14:40:40.096178
138,96,2023-11-01 14:40:40.206670
138,96,2023-11-01 14:40:40.326968
138,96,2023-11-01 14:40:40.447212
138,96,2023-11-01 14:40:40.567323
138,96,2023-11-01 14:40:40.677863
138,96,2023-11-01 14:40:40.798723
138,96,2023-11-01 14:40:40.908702
138,96,2023-11-01 14:40:41.018486
138,96,2023-11-01 14:40:41.093580
138,96,2023-11-01 14:40:41.153604
138,96,2023-11-01 14:40:41.213686
138,96,2023-11-01 14:40:41.274280
138,96,2023-11-01 14:40:41.334719
138,96,2023-11-01 14:40:41.394921
138,96,2023-11-01 14:40:41.464873
138,96,2023-11-01 14:40:41.525407
138,96,2023-11-01 14:40:41.585662
138,96,2023-11-01 14:40:41.665883
138,96,2023-11-01 14:40:41.735862
139,96,2023-11-01 14:40:43.003937
138,96,2023-11-01 14:40:43.076836
139,96,2023-11-01 14:40:43.147108
139,96,2023-11-01 14:40:43.207603
139,96,2023-11-01 14:40:43.267882
138,96,2023-11-01 14:40:43.328088
138,96,2023-11-01 14:40:43.388220
138,96,2023-11-01 14:40:43.448937
139,96,2023-11-01 14:40:43.519030
139,97,2023-11-01 14:40:43.589238
139,96,2023-11-01 14:40:43.659607
139,96,2023-11-01 14:40:43.729923
138,96,2023-11-01 14:40:43.790227
139,96,2023-11-01 14:40:43.850415
139,96,2023-11-01 14:40:43.911190
139,96,2023-11-01 14:40:43.972076
139,96,2023-11-01 14:40:44.041330
139,96,2023-11-01 14:40:44.111511
139,96,2023-11-01 14:40:44.181563
139,96,2023-11-01 14:40:44.262296
139,97,2023-11-01 14:40:44.342679
139,97,2023-11-01 14:40:44.422766
139,96,2023-11-01 14:40:44.503333
139,97,2023-11-01 14:40:44.573554
138,96,2023-11-01 14:40:44.653779
139,96,2023-11-01 14:40:44.723906
139,97,2023-11-01 14:40:44.794333
139,96,2023-11-01 14:40:44.874738
139,97,2023-11-01 14:40:44.955003
139,97,2023-11-01 14:40:45.025076
139,96,2023-11-01 14:40:45.105441
139,97,2023-11-01 14:40:45.175867
139,96,2023-11-01 14:40:45.246072
139,96,2023-11-01 14:40:45.316208
139,97,2023-11-01 14:40:45.386763
