hr,red,datetime
18983,14491,2023-10-24 2:28:0
19036,14508,2023-10-24 2:28:2
19049,14511,2023-10-24 2:28:3
18984,14489,2023-10-24 2:28:4
19049,14504,2023-10-24 2:28:5
18939,14469,2023-10-24 2:28:6
9432,9901,2023-10-24 2:28:16
17321,13444,2023-10-24 2:28:17
17543,13587,2023-10-24 2:28:18
17539,14011,2023-10-24 2:28:19
17971,14041,2023-10-24 2:28:20
18051,14058,2023-10-24 2:28:21
17980,14013,2023-10-24 2:28:22
18186,14059,2023-10-24 2:28:24
18199,14045,2023-10-24 2:28:25
18320,14071,2023-10-24 2:28:26
18283,14069,2023-10-24 2:28:27
18227,14054,2023-10-24 2:28:28
18239,14051,2023-10-24 2:28:29
18337,14062,2023-10-24 2:28:30
18235,14025,2023-10-24 2:28:31
18142,14018,2023-10-24 2:28:32
18247,14051,2023-10-24 2:28:33
17979,13976,2023-10-24 2:28:34
18118,14015,2023-10-24 2:28:36
18015,13983,2023-10-24 2:28:37
18193,14042,2023-10-24 2:28:38
18049,13992,2023-10-24 2:28:39
18101,14001,2023-10-24 2:28:40
18163,14014,2023-10-24 2:28:41
18021,13967,2023-10-24 2:28:42
18088,13984,2023-10-24 2:28:43
18303,14044,2023-10-24 2:28:44
17968,13939,2023-10-24 2:28:45
18156,13997,2023-10-24 2:28:47
17967,13936,2023-10-24 2:28:48
18047,13957,2023-10-24 2:28:49
17990,13937,2023-10-24 2:28:51
18169,13994,2023-10-24 2:28:52
18252,14015,2023-10-24 2:28:53
18271,14015,2023-10-24 2:28:54
18184,13986,2023-10-24 2:28:55
18290,14011,2023-10-24 2:28:56
17995,13917,2023-10-24 2:28:57
18270,13999,2023-10-24 2:28:58
18146,13958,2023-10-24 2:28:59
