hr,red,datetime
163,143,2023-11-01 12:32:50.230456
163,143,2023-11-01 12:32:50.250987
163,143,2023-11-01 12:32:50.270721
163,143,2023-11-01 12:32:50.291867
163,143,2023-11-01 12:32:50.414327
163,143,2023-11-01 12:32:50.474061
163,143,2023-11-01 12:32:50.533038
163,143,2023-11-01 12:32:50.597164
163,143,2023-11-01 12:32:50.653968
163,143,2023-11-01 12:32:50.724104
163,143,2023-11-01 12:32:50.784406
163,143,2023-11-01 12:32:50.844792
163,143,2023-11-01 12:32:50.905075
163,143,2023-11-01 12:32:50.965275
162,142,2023-11-01 12:32:51.037630
161,142,2023-11-01 12:32:51.106168
161,142,2023-11-01 12:32:51.166262
163,142,2023-11-01 12:32:51.226468
163,143,2023-11-01 12:32:51.287017
163,142,2023-11-01 12:32:51.357374
163,142,2023-11-01 12:32:51.437502
162,142,2023-11-01 12:32:51.507669
161,142,2023-11-01 12:32:51.588203
161,142,2023-11-01 12:32:51.658537
161,142,2023-11-01 12:32:51.738702
161,142,2023-11-01 12:32:51.809199
162,142,2023-11-01 12:32:51.879372
162,142,2023-11-01 12:32:51.959721
163,142,2023-11-01 12:32:52.039893
163,142,2023-11-01 12:32:52.111499
163,142,2023-11-01 12:32:52.190691
163,142,2023-11-01 12:32:52.260914
163,142,2023-11-01 12:32:52.341070
162,142,2023-11-01 12:32:52.411582
161,141,2023-11-01 12:32:52.481859
161,141,2023-11-01 12:32:52.562115
161,141,2023-11-01 12:32:52.632125
161,142,2023-11-01 12:32:52.712764
162,142,2023-11-01 12:32:52.793139
162,142,2023-11-01 12:32:52.873374
163,142,2023-11-01 12:32:52.960744
163,142,2023-11-01 12:32:53.043910
163,142,2023-11-01 12:32:53.114311
163,142,2023-11-01 12:32:53.184448
163,142,2023-11-01 12:32:53.254986
163,142,2023-11-01 12:32:53.335789
163,142,2023-11-01 12:32:53.415477
163,142,2023-11-01 12:32:53.505646
163,142,2023-11-01 12:32:53.586238
162,142,2023-11-01 12:32:53.666526
162,142,2023-11-01 12:32:53.747614
163,142,2023-11-01 12:32:53.837224
163,142,2023-11-01 12:32:53.917490
162,142,2023-11-01 12:32:54.007688
163,142,2023-11-01 12:32:54.097884
163,142,2023-11-01 12:32:54.178427
163,142,2023-11-01 12:32:54.258823
163,142,2023-11-01 12:32:54.348988
163,142,2023-11-01 12:32:54.439049
163,142,2023-11-01 12:32:54.529565
162,142,2023-11-01 12:32:54.620283
162,141,2023-11-01 12:32:54.700070
162,142,2023-11-01 12:32:54.790701
162,142,2023-11-01 12:32:54.900857
162,142,2023-11-01 12:32:54.990835
162,141,2023-11-01 12:32:55.081672
162,141,2023-11-01 12:32:55.171628
162,141,2023-11-01 12:32:55.261711
162,141,2023-11-01 12:32:55.351881
160,141,2023-11-01 12:32:55.470281
160,141,2023-11-01 12:32:55.572586
160,141,2023-11-01 12:32:55.662979
161,141,2023-11-01 12:32:55.752941
160,141,2023-11-01 12:32:57.002182
160,141,2023-11-01 12:32:57.093882
161,141,2023-11-01 12:32:57.184066
161,141,2023-11-01 12:32:57.274237
161,141,2023-11-01 12:32:57.364796
161,141,2023-11-01 12:32:57.455056
161,141,2023-11-01 12:32:57.555258
161,141,2023-11-01 12:32:57.645649
161,141,2023-11-01 12:32:57.736203
161,141,2023-11-01 12:32:57.836301
161,141,2023-11-01 12:32:57.926475
161,141,2023-11-01 12:32:58.017031
161,141,2023-11-01 12:32:58.107303
161,141,2023-11-01 12:32:58.197492
161,141,2023-11-01 12:32:58.297643
161,141,2023-11-01 12:32:58.388209
159,140,2023-11-01 12:32:58.478440
159,140,2023-11-01 12:32:58.568563
159,140,2023-11-01 12:32:58.669518
159,140,2023-11-01 12:32:58.770328
160,140,2023-11-01 12:32:58.879599
160,140,2023-11-01 12:32:58.979731
160,140,2023-11-01 12:32:59.080343
160,140,2023-11-01 12:32:59.190710
158,140,2023-11-01 12:32:59.304511
158,140,2023-11-01 12:32:59.401071
158,139,2023-11-01 12:32:59.501575
158,140,2023-11-01 12:32:59.601850
158,140,2023-11-01 12:32:59.702111
158,140,2023-11-01 12:32:59.802518
