hr,red,datetime
13568,5816,2023-11-01 14:32:23.315345
13567,5816,2023-11-01 14:32:23.334222
13566,5816,2023-11-01 14:32:23.354638
13567,5816,2023-11-01 14:32:23.525944
13567,5816,2023-11-01 14:32:23.587095
13566,5816,2023-11-01 14:32:23.646496
13566,5815,2023-11-01 14:32:23.706630
13566,5816,2023-11-01 14:32:23.767186
13567,5816,2023-11-01 14:32:23.827473
13567,5816,2023-11-01 14:32:23.907779
13567,5816,2023-11-01 14:32:23.978305
13567,5816,2023-11-01 14:32:24.038601
13568,5816,2023-11-01 14:32:24.099627
13568,5816,2023-11-01 14:32:24.158972
13559,5813,2023-11-01 14:32:24.237578
13559,5813,2023-11-01 14:32:24.299855
13559,5813,2023-11-01 14:32:24.380028
13561,5813,2023-11-01 14:32:24.450540
13561,5813,2023-11-01 14:32:24.520820
13562,5813,2023-11-01 14:32:24.591106
13562,5813,2023-11-01 14:32:24.671675
13562,5813,2023-11-01 14:32:24.751905
13562,5813,2023-11-01 14:32:24.832152
13560,5813,2023-11-01 14:32:24.902322
13559,5813,2023-11-01 14:32:24.972879
13558,5813,2023-11-01 14:32:25.053234
13559,5813,2023-11-01 14:32:25.133272
13559,5813,2023-11-01 14:32:25.213934
13558,5813,2023-11-01 14:32:25.294225
13557,5813,2023-11-01 14:32:25.374465
13556,5813,2023-11-01 14:32:25.445046
13554,5812,2023-11-01 14:32:25.515332
13553,5812,2023-11-01 14:32:25.585628
13552,5812,2023-11-01 14:32:25.665723
13551,5812,2023-11-01 14:32:25.746078
13551,5812,2023-11-01 14:32:25.826616
13550,5812,2023-11-01 14:32:25.896802
13554,5813,2023-11-01 14:32:25.987409
13553,5813,2023-11-01 14:32:26.067620
13552,5812,2023-11-01 14:32:26.148939
13551,5812,2023-11-01 14:32:26.228036
13551,5812,2023-11-01 14:32:26.318584
13551,5812,2023-11-01 14:32:26.408920
13551,5812,2023-11-01 14:32:26.489094
13551,5812,2023-11-01 14:32:26.569570
13552,5812,2023-11-01 14:32:26.649947
13551,5812,2023-11-01 14:32:26.750179
13550,5812,2023-11-01 14:32:26.840730
13550,5812,2023-11-01 14:32:26.931023
13551,5812,2023-11-01 14:32:27.021229
13551,5812,2023-11-01 14:32:27.101370
13551,5812,2023-11-01 14:32:27.182051
13551,5812,2023-11-01 14:32:27.273203
13552,5812,2023-11-01 14:32:27.352464
13552,5813,2023-11-01 14:32:27.442912
13550,5813,2023-11-01 14:32:28.715879
13549,5813,2023-11-01 14:32:28.793559
13549,5812,2023-11-01 14:32:28.874131
13553,5813,2023-11-01 14:32:28.976309
13552,5813,2023-11-01 14:32:29.074350
13550,5813,2023-11-01 14:32:29.154352
13549,5812,2023-11-01 14:32:29.244416
13548,5812,2023-11-01 14:32:29.335335
13548,5812,2023-11-01 14:32:29.426181
13547,5812,2023-11-01 14:32:29.506025
13547,5812,2023-11-01 14:32:29.596343
13547,5812,2023-11-01 14:32:29.690166
13547,5812,2023-11-01 14:32:29.777118
13550,5813,2023-11-01 14:32:29.867362
13548,5813,2023-11-01 14:32:29.957595
13547,5812,2023-11-01 14:32:30.057750
13547,5812,2023-11-01 14:32:30.158314
13546,5812,2023-11-01 14:32:30.248768
13546,5812,2023-11-01 14:32:30.339126
13546,5812,2023-11-01 14:32:30.429398
13546,5812,2023-11-01 14:32:30.519678
13543,5812,2023-11-01 14:32:30.622540
13543,5812,2023-11-01 14:32:30.730074
13542,5812,2023-11-01 14:32:30.820633
13543,5812,2023-11-01 14:32:30.910966
13543,5812,2023-11-01 14:32:31.002393
13544,5812,2023-11-01 14:32:31.111728
13543,5812,2023-11-01 14:32:31.211974
13543,5812,2023-11-01 14:32:31.312238
13540,5811,2023-11-01 14:32:31.426033
13540,5811,2023-11-01 14:32:31.523057
13541,5811,2023-11-01 14:32:31.633271
13541,5811,2023-11-01 14:32:31.743452
13541,5811,2023-11-01 14:32:31.853995
13542,5811,2023-11-01 14:32:31.964396
13542,5811,2023-11-01 14:32:32.074532
13542,5811,2023-11-01 14:32:32.175090
13534,5810,2023-11-01 14:32:32.275369
13534,5809,2023-11-01 14:32:32.375585
13534,5810,2023-11-01 14:32:32.476155
13533,5809,2023-11-01 14:32:32.597548
13533,5809,2023-11-01 14:32:32.697240
13533,5810,2023-11-01 14:32:32.807452
13533,5809,2023-11-01 14:32:32.908392
13524,5807,2023-11-01 14:32:33.017557
13524,5807,2023-11-01 14:32:33.127890
13524,5807,2023-11-01 14:32:33.238452
13525,5807,2023-11-01 14:32:33.338731
13525,5808,2023-11-01 14:32:33.448947
13525,5807,2023-11-01 14:32:33.559088
13526,5808,2023-11-01 14:32:33.669696
13519,5807,2023-11-01 14:32:33.795479
13520,5807,2023-11-01 14:32:33.910207
13520,5807,2023-11-01 14:32:34.065164
13521,5807,2023-11-01 14:32:34.125354
13521,5807,2023-11-01 14:32:34.185447
13521,5807,2023-11-01 14:32:34.246079
13522,5807,2023-11-01 14:32:34.306329
13521,5807,2023-11-01 14:32:34.366541
13520,5807,2023-11-01 14:32:34.426687
13519,5807,2023-11-01 14:32:34.487273
13518,5807,2023-11-01 14:32:34.557695
13517,5807,2023-11-01 14:32:34.617818
13524,5809,2023-11-01 14:32:34.688335
13523,5809,2023-11-01 14:32:34.758613
13523,5809,2023-11-01 14:32:34.828846
13522,5809,2023-11-01 14:32:34.889442
13521,5808,2023-11-01 14:32:34.959660
13520,5809,2023-11-01 14:32:35.039939
13520,5808,2023-11-01 14:32:35.110112
13519,5808,2023-11-01 14:32:35.190696
13519,5808,2023-11-01 14:32:35.271081
13519,5808,2023-11-01 14:32:35.351155
13519,5809,2023-11-01 14:32:35.431736
13520,5808,2023-11-01 14:32:35.511995
13526,5810,2023-11-01 14:32:35.582282
13526,5810,2023-11-01 14:32:35.652791
13526,5810,2023-11-01 14:32:35.733053
13526,5810,2023-11-01 14:32:35.803287
13527,5810,2023-11-01 14:32:35.873941
13527,5810,2023-11-01 14:32:35.953992
13527,5811,2023-11-01 14:32:36.034354
13528,5811,2023-11-01 14:32:36.114537
13528,5811,2023-11-01 14:32:36.185762
13529,5811,2023-11-01 14:32:36.265402
13529,5811,2023-11-01 14:32:36.345645
13536,5812,2023-11-01 14:32:36.426479
13537,5812,2023-11-01 14:32:36.506436
13537,5813,2023-11-01 14:32:36.587283
13538,5813,2023-11-01 14:32:36.656867
13538,5813,2023-11-01 14:32:36.737411
13538,5813,2023-11-01 14:32:36.817703
13539,5813,2023-11-01 14:32:36.908009
13538,5813,2023-11-01 14:32:36.999045
13539,5813,2023-11-01 14:32:37.088788
13539,5813,2023-11-01 14:32:37.179000
13545,5815,2023-11-01 14:32:37.273284
13545,5815,2023-11-01 14:32:37.359723
13545,5814,2023-11-01 14:32:37.440094
13545,5814,2023-11-01 14:32:37.520448
13545,5815,2023-11-01 14:32:37.611379
13545,5815,2023-11-01 14:32:37.701088
13545,5814,2023-11-01 14:32:37.791344
13545,5815,2023-11-01 14:32:37.871902
13546,5815,2023-11-01 14:32:37.962120
13547,5815,2023-11-01 14:32:38.042244
13547,5815,2023-11-01 14:32:38.133005
13547,5815,2023-11-01 14:32:38.213074
13548,5815,2023-11-01 14:32:38.303505
13549,5815,2023-11-01 14:32:38.383598
13548,5815,2023-11-01 14:32:38.474313
13549,5815,2023-11-01 14:32:38.574345
13549,5815,2023-11-01 14:32:38.674343
13546,5814,2023-11-01 14:32:39.966208
13546,5814,2023-11-01 14:32:40.055232
13547,5814,2023-11-01 14:32:40.135383
13551,5815,2023-11-01 14:32:40.241892
13550,5814,2023-11-01 14:32:40.326075
13550,5815,2023-11-01 14:32:40.416400
13550,5814,2023-11-01 14:32:40.496568
13549,5814,2023-11-01 14:32:40.587989
13549,5814,2023-11-01 14:32:40.677465
13550,5814,2023-11-01 14:32:40.767659
13549,5814,2023-11-01 14:32:40.857824
13550,5814,2023-11-01 14:32:40.938395
13550,5814,2023-11-01 14:32:41.028804
13550,5814,2023-11-01 14:32:41.118897
13549,5814,2023-11-01 14:32:41.209467
13549,5814,2023-11-01 14:32:41.300692
13549,5814,2023-11-01 14:32:41.389982
13549,5814,2023-11-01 14:32:41.480550
13548,5814,2023-11-01 14:32:41.570968
13548,5814,2023-11-01 14:32:41.661022
13549,5814,2023-11-01 14:32:41.751119
13549,5814,2023-11-01 14:32:41.841774
13544,5813,2023-11-01 14:32:41.932217
13544,5812,2023-11-01 14:32:42.032264
13544,5812,2023-11-01 14:32:42.132798
13544,5812,2023-11-01 14:32:42.243072
13544,5812,2023-11-01 14:32:42.343334
13544,5812,2023-11-01 14:32:42.453891
13544,5812,2023-11-01 14:32:42.554142
13545,5812,2023-11-01 14:32:42.664407
13539,5811,2023-11-01 14:32:42.774527
13539,5811,2023-11-01 14:32:42.885069
13538,5811,2023-11-01 14:32:42.995432
13538,5811,2023-11-01 14:32:43.105627
13538,5811,2023-11-01 14:32:43.216182
13538,5811,2023-11-01 14:32:43.316513
13539,5811,2023-11-01 14:32:43.416687
13534,5810,2023-11-01 14:32:43.527263
13533,5809,2023-11-01 14:32:43.627529
13533,5809,2023-11-01 14:32:43.737770
