hr,red,datetime
13757,5892,2023-11-01 14:28:05.433948
13755,5892,2023-11-01 14:28:05.453229
13754,5892,2023-11-01 14:28:05.473767
13752,5892,2023-11-01 14:28:05.684652
13746,5891,2023-11-01 14:28:05.754843
13740,5890,2023-11-01 14:28:05.815055
13733,5890,2023-11-01 14:28:05.875214
13727,5890,2023-11-01 14:28:05.935783
13721,5891,2023-11-01 14:28:06.006042
13716,5893,2023-11-01 14:28:06.069897
13711,5894,2023-11-01 14:28:06.146895
13706,5897,2023-11-01 14:28:06.227163
13803,5942,2023-11-01 14:28:06.316609
13810,5941,2023-11-01 14:28:06.387677
13822,5942,2023-11-01 14:28:06.458083
13837,5943,2023-11-01 14:28:06.538447
13851,5944,2023-11-01 14:28:06.609562
13860,5945,2023-11-01 14:28:06.679313
13860,5945,2023-11-01 14:28:06.749436
13856,5944,2023-11-01 14:28:06.819711
13847,5942,2023-11-01 14:28:06.890259
13839,5942,2023-11-01 14:28:06.960606
13836,5943,2023-11-01 14:28:07.040738
13834,5943,2023-11-01 14:28:07.120647
hr,red,datetime
13587,5925,2023-11-01 14:28:49.206280
13587,5925,2023-11-01 14:28:49.276518
13588,5925,2023-11-01 14:28:49.347025
13588,5925,2023-11-01 14:28:49.408069
13588,5925,2023-11-01 14:28:49.477545
13587,5925,2023-11-01 14:28:49.557755
13586,5924,2023-11-01 14:28:49.629323
13586,5924,2023-11-01 14:28:49.708613
13585,5924,2023-11-01 14:28:49.778831
13585,5924,2023-11-01 14:28:49.859453
13585,5924,2023-11-01 14:28:49.939870
13578,5922,2023-11-01 14:28:50.019920
13577,5922,2023-11-01 14:28:50.100112
13577,5922,2023-11-01 14:28:50.180655
13577,5922,2023-11-01 14:28:50.250815
13577,5922,2023-11-01 14:28:50.321171
13577,5922,2023-11-01 14:28:50.391734
13577,5922,2023-11-01 14:28:50.472023
13576,5922,2023-11-01 14:28:50.542591
13577,5922,2023-11-01 14:28:50.632827
13578,5922,2023-11-01 14:28:50.703097
13578,5922,2023-11-01 14:28:50.783315
13574,5921,2023-11-01 14:28:50.864563
13575,5921,2023-11-01 14:28:50.944030
13576,5922,2023-11-01 14:28:51.024306
13576,5922,2023-11-01 14:28:51.104573
13576,5922,2023-11-01 14:28:51.174928
13577,5922,2023-11-01 14:28:51.245408
13578,5922,2023-11-01 14:28:51.335625
13580,5922,2023-11-01 14:28:51.425862
13580,5922,2023-11-01 14:28:51.516343
13580,5922,2023-11-01 14:28:51.596727
13579,5922,2023-11-01 14:28:51.677601
13557,5921,2023-11-01 14:28:51.757443
13558,5921,2023-11-01 14:28:51.847598
13559,5921,2023-11-01 14:28:51.937615
13562,5921,2023-11-01 14:28:52.028363
13565,5922,2023-11-01 14:28:52.118439
13569,5923,2023-11-01 14:28:52.208604
13572,5923,2023-11-01 14:28:52.302171
13574,5923,2023-11-01 14:28:52.390068
13576,5924,2023-11-01 14:28:52.490324
13607,5929,2023-11-01 14:28:52.579835
13609,5929,2023-11-01 14:28:52.670384
13609,5929,2023-11-01 14:28:52.770707
13611,5929,2023-11-01 14:28:52.870872
13612,5929,2023-11-01 14:28:52.961451
13613,5929,2023-11-01 14:28:53.061754
13612,5929,2023-11-01 14:28:53.161986
13610,5929,2023-11-01 14:28:53.252134
13606,5930,2023-11-01 14:28:53.354414
13608,5931,2023-11-01 14:28:53.453101
13612,5932,2023-11-01 14:28:53.553222
13615,5933,2023-11-01 14:28:53.643784
13617,5933,2023-11-01 14:28:53.744093
13617,5933,2023-11-01 14:28:53.844281
13616,5933,2023-11-01 14:28:53.944440
13614,5933,2023-11-01 14:28:54.055549
13621,5938,2023-11-01 14:28:54.165492
13623,5938,2023-11-01 14:28:54.265584
13626,5939,2023-11-01 14:28:54.366127
13628,5940,2023-11-01 14:28:54.486469
13632,5940,2023-11-01 14:28:54.596662
13636,5942,2023-11-01 14:28:54.697227
13641,5942,2023-11-01 14:28:54.797558
13642,5943,2023-11-01 14:28:54.907779
13612,5935,2023-11-01 14:28:55.017850
13611,5934,2023-11-01 14:28:55.128439
13610,5934,2023-11-01 14:28:55.238775
13610,5934,2023-11-01 14:28:55.338921
13609,5933,2023-11-01 14:28:55.449551
13607,5933,2023-11-01 14:28:55.560194
13604,5932,2023-11-01 14:28:55.659997
13579,5926,2023-11-01 14:28:55.771181
13580,5926,2023-11-01 14:28:55.881004
13581,5926,2023-11-01 14:28:55.990886
13582,5926,2023-11-01 14:28:56.090973
13583,5927,2023-11-01 14:28:56.191610
13584,5927,2023-11-01 14:28:56.302152
13585,5927,2023-11-01 14:28:56.402609
13602,5933,2023-11-01 14:28:56.527180
13603,5933,2023-11-01 14:28:56.643147
13604,5933,2023-11-01 14:28:56.763368
13606,5934,2023-11-01 14:28:56.918649
13608,5934,2023-11-01 14:28:56.978810
13609,5935,2023-11-01 14:28:57.038664
13611,5935,2023-11-01 14:28:57.098773
13613,5936,2023-11-01 14:28:57.169434
13613,5936,2023-11-01 14:28:57.229856
13613,5936,2023-11-01 14:28:57.289868
13641,5943,2023-11-01 14:28:57.370692
13642,5943,2023-11-01 14:28:57.440781
13643,5943,2023-11-01 14:28:57.500919
13644,5944,2023-11-01 14:28:57.561630
13645,5944,2023-11-01 14:28:57.622072
13646,5945,2023-11-01 14:28:57.701991
13648,5945,2023-11-01 14:28:57.772218
13649,5945,2023-11-01 14:28:57.842731
13651,5945,2023-11-01 14:28:57.913020
13651,5946,2023-11-01 14:28:57.993259
13650,5946,2023-11-01 14:28:58.073895
13650,5946,2023-11-01 14:28:58.154122
13649,5945,2023-11-01 14:28:58.224924
13680,5951,2023-11-01 14:28:58.294491
13681,5950,2023-11-01 14:28:58.365076
13682,5951,2023-11-01 14:28:58.436232
13683,5951,2023-11-01 14:28:58.505551
13684,5951,2023-11-01 14:28:58.576115
13684,5951,2023-11-01 14:28:58.646172
13684,5951,2023-11-01 14:28:58.716635
13685,5951,2023-11-01 14:28:58.787240
13686,5951,2023-11-01 14:28:58.857358
13747,5964,2023-11-01 14:29:00.128968
13748,5965,2023-11-01 14:29:00.197876
13749,5965,2023-11-01 14:29:00.268421
13750,5965,2023-11-01 14:29:00.338803
13751,5965,2023-11-01 14:29:00.419028
13772,5970,2023-11-01 14:29:00.499509
13773,5970,2023-11-01 14:29:00.569789
13774,5970,2023-11-01 14:29:00.639996
13774,5970,2023-11-01 14:29:00.720608
13775,5971,2023-11-01 14:29:00.800738
13776,5971,2023-11-01 14:29:00.881104
13777,5971,2023-11-01 14:29:00.961260
13777,5971,2023-11-01 14:29:01.041819
