hr,red,datetime
16085,7309,2023-11-01 13:55:44.173104
16046,7306,2023-11-01 13:55:44.193730
16052,7310,2023-11-01 13:55:44.212934
16096,7318,2023-11-01 13:55:44.315048
16102,7318,2023-11-01 13:55:44.385296
16086,7315,2023-11-01 13:55:44.455888
16065,7312,2023-11-01 13:55:44.515703
16070,7319,2023-11-01 13:55:44.576285
16061,7320,2023-11-01 13:55:44.636601
16001,7313,2023-11-01 13:55:44.696877
16044,7318,2023-11-01 13:55:44.757347
16120,7314,2023-11-01 13:55:44.817640
16063,7254,2023-11-01 13:55:44.877846
16048,7236,2023-11-01 13:55:44.938019
16074,7238,2023-11-01 13:55:44.998594
16052,7234,2023-11-01 13:55:45.068925
15743,7042,2023-11-01 13:55:45.139088
15679,6988,2023-11-01 13:55:45.209652
15630,6952,2023-11-01 13:55:45.279888
15597,6923,2023-11-01 13:55:45.350172
15602,6916,2023-11-01 13:55:45.410720
15618,6919,2023-11-01 13:55:45.480976
15620,6915,2023-11-01 13:55:45.561255
15620,6912,2023-11-01 13:55:45.641427
15610,6906,2023-11-01 13:55:45.721938
15587,6891,2023-11-01 13:55:45.792321
15567,6864,2023-11-01 13:55:45.873050
15568,6843,2023-11-01 13:55:45.953027
15748,6863,2023-11-01 13:55:46.023280
15759,6877,2023-11-01 13:55:46.103519
15748,6879,2023-11-01 13:55:46.174064
15728,6879,2023-11-01 13:55:46.244383
15717,6879,2023-11-01 13:55:46.324603
15717,6881,2023-11-01 13:55:46.404769
15719,6882,2023-11-01 13:55:46.475305
15729,6885,2023-11-01 13:55:46.545679
15741,6889,2023-11-01 13:55:46.619341
15731,6887,2023-11-01 13:55:46.707275
15720,6884,2023-11-01 13:55:46.776638
15718,6883,2023-11-01 13:55:46.846947
15827,6931,2023-11-01 13:55:46.927185
15850,6942,2023-11-01 13:55:46.998307
15860,6947,2023-11-01 13:55:47.088000
15839,6941,2023-11-01 13:55:47.168176
15814,6934,2023-11-01 13:55:47.248722
15796,6934,2023-11-01 13:55:47.339006
15793,6939,2023-11-01 13:55:47.429261
15789,6942,2023-11-01 13:55:47.519883
15804,6953,2023-11-01 13:55:47.600131
