hr,red,datetime
2991,1358,2023-11-01 13:19:10.360710
2991,1357,2023-11-01 13:19:10.379142
2991,1358,2023-11-01 13:19:10.399989
2991,1358,2023-11-01 13:19:10.419353
2991,1358,2023-11-01 13:19:10.601386
2990,1358,2023-11-01 13:19:10.661779
2991,1358,2023-11-01 13:19:10.721955
2991,1358,2023-11-01 13:19:10.782486
2991,1358,2023-11-01 13:19:10.842743
2991,1358,2023-11-01 13:19:10.906492
2991,1358,2023-11-01 13:19:10.973579
2991,1358,2023-11-01 13:19:11.033876
2992,1358,2023-11-01 13:19:11.104381
2991,1358,2023-11-01 13:19:11.184359
2992,1358,2023-11-01 13:19:11.255127
2989,1360,2023-11-01 13:19:11.325030
2989,1359,2023-11-01 13:19:11.405265
2990,1360,2023-11-01 13:19:11.485859
2990,1360,2023-11-01 13:19:11.567032
2990,1360,2023-11-01 13:19:11.636341
2990,1360,2023-11-01 13:19:11.706509
2990,1360,2023-11-01 13:19:11.777446
2990,1360,2023-11-01 13:19:11.847334
2990,1360,2023-11-01 13:19:11.927587
2990,1360,2023-11-01 13:19:11.998119
2990,1360,2023-11-01 13:19:12.079298
2991,1363,2023-11-01 13:19:12.166348
2992,1363,2023-11-01 13:19:12.248768
2991,1363,2023-11-01 13:19:12.319318
2992,1363,2023-11-01 13:19:12.390368
2992,1363,2023-11-01 13:19:12.459852
2992,1363,2023-11-01 13:19:12.530399
2992,1363,2023-11-01 13:19:12.610681
2992,1363,2023-11-01 13:19:12.691507
2992,1363,2023-11-01 13:19:12.771037
2992,1363,2023-11-01 13:19:12.851594
2992,1363,2023-11-01 13:19:12.931976
2991,1362,2023-11-01 13:19:13.029309
2991,1363,2023-11-01 13:19:13.103577
2991,1363,2023-11-01 13:19:13.182976
2992,1363,2023-11-01 13:19:13.263036
2994,1363,2023-11-01 13:19:14.491075
2994,1363,2023-11-01 13:19:14.563919
2994,1363,2023-11-01 13:19:14.644569
2994,1363,2023-11-01 13:19:14.714649
2994,1363,2023-11-01 13:19:14.784949
2995,1363,2023-11-01 13:19:14.855102
2995,1363,2023-11-01 13:19:14.935453
2995,1363,2023-11-01 13:19:15.005605
2995,1363,2023-11-01 13:19:15.076187
2995,1363,2023-11-01 13:19:15.156970
2995,1364,2023-11-01 13:19:15.238415
2995,1364,2023-11-01 13:19:15.327219
2995,1364,2023-11-01 13:19:15.397487
2996,1364,2023-11-01 13:19:15.467535
2995,1364,2023-11-01 13:19:15.538310
2995,1363,2023-11-01 13:19:15.628602
2995,1364,2023-11-01 13:19:15.719085
2996,1364,2023-11-01 13:19:15.798984
2996,1364,2023-11-01 13:19:15.879527
2996,1364,2023-11-01 13:19:15.970162
2996,1364,2023-11-01 13:19:16.049696
2996,1364,2023-11-01 13:19:16.140530
2996,1364,2023-11-01 13:19:16.230564
2997,1364,2023-11-01 13:19:16.320710
2996,1364,2023-11-01 13:19:16.400783
2996,1364,2023-11-01 13:19:16.491363
2996,1364,2023-11-01 13:19:16.582171
2996,1364,2023-11-01 13:19:16.675590
2996,1364,2023-11-01 13:19:16.782675
2997,1364,2023-11-01 13:19:16.872734
2997,1364,2023-11-01 13:19:16.962937
2998,1364,2023-11-01 13:19:17.063103
2997,1365,2023-11-01 13:19:17.153734
2997,1364,2023-11-01 13:19:17.243992
2997,1364,2023-11-01 13:19:17.334163
2997,1364,2023-11-01 13:19:17.434729
2997,1365,2023-11-01 13:19:17.525009
2997,1365,2023-11-01 13:19:17.615314
2998,1365,2023-11-01 13:19:17.727865
2998,1365,2023-11-01 13:19:17.825958
2998,1365,2023-11-01 13:19:17.926286
2998,1365,2023-11-01 13:19:18.017196
2998,1365,2023-11-01 13:19:18.117642
2998,1365,2023-11-01 13:19:18.227992
2998,1365,2023-11-01 13:19:18.328505
2998,1365,2023-11-01 13:19:18.428447
3002,1366,2023-11-01 13:19:18.538063
3002,1366,2023-11-01 13:19:18.648562
3002,1366,2023-11-01 13:19:18.748723
3001,1366,2023-11-01 13:19:18.849111
3001,1366,2023-11-01 13:19:18.969559
3001,1366,2023-11-01 13:19:19.069785
3000,1366,2023-11-01 13:19:19.180348
3000,1366,2023-11-01 13:19:19.290620
3003,1366,2023-11-01 13:19:19.390845
3003,1366,2023-11-01 13:19:19.491031
3003,1366,2023-11-01 13:19:19.591560
3003,1366,2023-11-01 13:19:19.701840
3004,1367,2023-11-01 13:19:19.812063
3004,1367,2023-11-01 13:19:19.912621
3004,1366,2023-11-01 13:19:20.022907
3004,1367,2023-11-01 13:19:20.123197
3003,1367,2023-11-01 13:19:20.223267
3004,1367,2023-11-01 13:19:20.333819
3004,1367,2023-11-01 13:19:20.434101
3004,1367,2023-11-01 13:19:20.544339
3004,1366,2023-11-01 13:19:20.644917
3004,1367,2023-11-01 13:19:20.755167
3005,1367,2023-11-01 13:19:20.875386
3005,1367,2023-11-01 13:19:20.995689
3005,1367,2023-11-01 13:19:21.160558
3005,1367,2023-11-01 13:19:21.220694
3005,1367,2023-11-01 13:19:21.280773
3005,1367,2023-11-01 13:19:21.341385
3005,1367,2023-11-01 13:19:21.402227
3006,1367,2023-11-01 13:19:21.461870
3005,1367,2023-11-01 13:19:21.522030
3006,1367,2023-11-01 13:19:21.582606
3006,1367,2023-11-01 13:19:21.652946
3006,1367,2023-11-01 13:19:21.713085
3006,1368,2023-11-01 13:19:21.783646
3006,1368,2023-11-01 13:19:21.843900
3006,1368,2023-11-01 13:19:21.914518
3006,1368,2023-11-01 13:19:21.994267
3006,1368,2023-11-01 13:19:22.074865
