hr,red,datetime
3331,1739,2023-11-01 13:12:22.695265
3332,1739,2023-11-01 13:12:22.707594
3332,1739,2023-11-01 13:12:22.724495
3332,1739,2023-11-01 13:12:22.737637
3332,1739,2023-11-01 13:12:22.835930
3329,1738,2023-11-01 13:12:22.896289
3329,1738,2023-11-01 13:12:22.956415
3330,1738,2023-11-01 13:12:23.016976
3330,1738,2023-11-01 13:12:23.077250
3331,1738,2023-11-01 13:12:23.137479
3331,1739,2023-11-01 13:12:23.208167
3331,1738,2023-11-01 13:12:23.276710
3331,1739,2023-11-01 13:12:23.338838
3331,1739,2023-11-01 13:12:23.408728
3332,1739,2023-11-01 13:12:23.479641
3332,1739,2023-11-01 13:12:23.539547
3332,1739,2023-11-01 13:12:23.609786
3331,1739,2023-11-01 13:12:23.680991
3332,1739,2023-11-01 13:12:23.750629
3329,1738,2023-11-01 13:12:23.820826
3329,1738,2023-11-01 13:12:23.890917
3329,1738,2023-11-01 13:12:23.951555
3328,1737,2023-11-01 13:12:24.011835
3327,1737,2023-11-01 13:12:24.092232
3325,1736,2023-11-01 13:12:24.162862
3325,1735,2023-11-01 13:12:24.242900
3324,1735,2023-11-01 13:12:24.323113
3324,1735,2023-11-01 13:12:24.393939
3322,1734,2023-11-01 13:12:24.463861
3320,1733,2023-11-01 13:12:24.534231
3318,1732,2023-11-01 13:12:24.614349
3296,1722,2023-11-01 13:12:24.696220
3297,1722,2023-11-01 13:12:24.775150
3298,1722,2023-11-01 13:12:24.855409
3298,1722,2023-11-01 13:12:24.935539
3298,1722,2023-11-01 13:12:25.006930
3298,1722,2023-11-01 13:12:25.086448
3299,1722,2023-11-01 13:12:25.167044
3298,1722,2023-11-01 13:12:25.247184
3298,1722,2023-11-01 13:12:25.322045
3298,1722,2023-11-01 13:12:25.397711
3298,1722,2023-11-01 13:12:25.478121
3280,1717,2023-11-01 13:12:25.568418
3277,1715,2023-11-01 13:12:25.638588
3275,1715,2023-11-01 13:12:25.719112
3272,1714,2023-11-01 13:12:25.789433
3268,1713,2023-11-01 13:12:25.859711
3266,1713,2023-11-01 13:12:25.939763
3264,1713,2023-11-01 13:12:26.031134
3263,1714,2023-11-01 13:12:26.120743
3266,1715,2023-11-01 13:12:26.201087
3268,1717,2023-11-01 13:12:26.281158
3267,1717,2023-11-01 13:12:26.371705
3277,1722,2023-11-01 13:12:26.452823
3277,1722,2023-11-01 13:12:26.532208
3277,1722,2023-11-01 13:12:26.622767
3276,1721,2023-11-01 13:12:26.703077
3276,1721,2023-11-01 13:12:26.793296
3276,1721,2023-11-01 13:12:26.883410
3275,1721,2023-11-01 13:12:26.964120
3276,1721,2023-11-01 13:12:27.064215
3276,1721,2023-11-01 13:12:27.164232
3279,1724,2023-11-01 13:12:27.255130
3279,1723,2023-11-01 13:12:27.345033
3279,1723,2023-11-01 13:12:27.435185
3279,1723,2023-11-01 13:12:27.525298
3279,1723,2023-11-01 13:12:27.615846
3279,1724,2023-11-01 13:12:27.706135
3278,1723,2023-11-01 13:12:27.806364
3277,1723,2023-11-01 13:12:27.896931
3277,1723,2023-11-01 13:12:27.987198
3275,1722,2023-11-01 13:12:28.081724
3275,1722,2023-11-01 13:12:28.187920
3274,1722,2023-11-01 13:12:28.278556
3274,1722,2023-11-01 13:12:28.389222
3274,1722,2023-11-01 13:12:28.498686
3273,1722,2023-11-01 13:12:28.609219
3274,1722,2023-11-01 13:12:28.709487
3273,1722,2023-11-01 13:12:28.809715
3270,1722,2023-11-01 13:12:28.909839
3270,1722,2023-11-01 13:12:29.010319
3269,1722,2023-11-01 13:12:29.110711
3268,1721,2023-11-01 13:12:29.221010
3267,1721,2023-11-01 13:12:29.331492
3266,1721,2023-11-01 13:12:29.431775
3266,1721,2023-11-01 13:12:29.532026
3269,1722,2023-11-01 13:12:29.654994
3269,1722,2023-11-01 13:12:29.752722
3269,1723,2023-11-01 13:12:29.863079
3270,1722,2023-11-01 13:12:29.963221
3270,1723,2023-11-01 13:12:30.073767
3269,1723,2023-11-01 13:12:30.184098
3270,1723,2023-11-01 13:12:30.294262
3270,1722,2023-11-01 13:12:30.394827
3269,1723,2023-11-01 13:12:30.495110
3269,1723,2023-11-01 13:12:30.605328
3269,1723,2023-11-01 13:12:30.715490
3269,1723,2023-11-01 13:12:30.826028
3269,1723,2023-11-01 13:12:30.947136
3269,1723,2023-11-01 13:12:31.066523
3268,1723,2023-11-01 13:12:31.180726
3271,1724,2023-11-01 13:12:31.297385
3272,1725,2023-11-01 13:12:31.417589
3272,1725,2023-11-01 13:12:31.527625
3274,1727,2023-11-01 13:12:32.795907
3275,1727,2023-11-01 13:12:32.889229
