hr,red,datetime
3180,2235,2023-10-31 10:56:57.404724
3188,2239,2023-10-31 10:56:57.427717
3191,2241,2023-10-31 10:56:57.445164
3186,2239,2023-10-31 10:56:57.466173
3177,2233,2023-10-31 10:56:57.647070
3168,2228,2023-10-31 10:56:57.707326
3163,2225,2023-10-31 10:56:57.767531
3159,2223,2023-10-31 10:56:57.828123
3155,2220,2023-10-31 10:56:57.891945
3150,2217,2023-10-31 10:56:57.958727
3146,2215,2023-10-31 10:56:58.038825
3144,2214,2023-10-31 10:56:58.119382
3141,2212,2023-10-31 10:56:58.192364
3138,2210,2023-10-31 10:56:58.269941
3138,2208,2023-10-31 10:56:58.350415
3142,2210,2023-10-31 10:56:58.430683
3142,2211,2023-10-31 10:56:58.501209
3141,2210,2023-10-31 10:56:58.571114
3138,2208,2023-10-31 10:56:58.641616
3136,2207,2023-10-31 10:56:58.711915
3137,2207,2023-10-31 10:56:58.792018
3164,2221,2023-10-31 10:56:59.946785
3164,2222,2023-10-31 10:57:00.012993
3165,2222,2023-10-31 10:57:00.073182
3166,2223,2023-10-31 10:57:00.143328
3167,2223,2023-10-31 10:57:00.203899
3167,2223,2023-10-31 10:57:00.264261
3170,2225,2023-10-31 10:57:00.324433
3175,2228,2023-10-31 10:57:00.394998
3178,2230,2023-10-31 10:57:00.465259
3180,2232,2023-10-31 10:57:00.546094
3256,2284,2023-10-31 10:57:00.615648
3256,2283,2023-10-31 10:57:00.686184
3256,2284,2023-10-31 10:57:00.756335
3257,2284,2023-10-31 10:57:00.836694
3258,2285,2023-10-31 10:57:00.907244
3257,2285,2023-10-31 10:57:00.987609
3256,2284,2023-10-31 10:57:01.067600
3255,2283,2023-10-31 10:57:01.147916
3257,2284,2023-10-31 10:57:01.228468
3259,2286,2023-10-31 10:57:01.312505
3261,2287,2023-10-31 10:57:01.389003
3294,2311,2023-10-31 10:57:01.469945
3294,2312,2023-10-31 10:57:01.549818
3294,2312,2023-10-31 10:57:01.629998
3293,2311,2023-10-31 10:57:01.710606
3294,2311,2023-10-31 10:57:01.790876
3293,2312,2023-10-31 10:57:01.871675
3294,2312,2023-10-31 10:57:01.941747
3295,2313,2023-10-31 10:57:02.011842
3297,2314,2023-10-31 10:57:02.083009
3297,2314,2023-10-31 10:57:02.172304
3296,2313,2023-10-31 10:57:02.242888
3292,2311,2023-10-31 10:57:02.323129
3293,2312,2023-10-31 10:57:02.403212
3296,2314,2023-10-31 10:57:02.494229
3300,2317,2023-10-31 10:57:02.594143
3302,2318,2023-10-31 10:57:02.674377
3304,2320,2023-10-31 10:57:02.764619
3309,2323,2023-10-31 10:57:02.855187
3314,2327,2023-10-31 10:57:02.955459
3320,2331,2023-10-31 10:57:03.045417
3337,2347,2023-10-31 10:57:03.145771
3338,2348,2023-10-31 10:57:03.246212
3340,2349,2023-10-31 10:57:03.335415
3341,2350,2023-10-31 10:57:03.426468
3342,2350,2023-10-31 10:57:03.517257
3343,2351,2023-10-31 10:57:03.607342
3344,2352,2023-10-31 10:57:03.707488
3346,2353,2023-10-31 10:57:03.797655
3346,2354,2023-10-31 10:57:03.891870
3366,2369,2023-10-31 10:57:03.988654
3366,2369,2023-10-31 10:57:04.078749
3365,2368,2023-10-31 10:57:04.169304
3366,2369,2023-10-31 10:57:04.259576
3367,2370,2023-10-31 10:57:04.349789
3369,2371,2023-10-31 10:57:04.449921
3369,2371,2023-10-31 10:57:04.541191
3367,2370,2023-10-31 10:57:04.650925
3365,2369,2023-10-31 10:57:04.751018
3375,2378,2023-10-31 10:57:04.851580
3373,2377,2023-10-31 10:57:04.961902
3370,2375,2023-10-31 10:57:05.062071
3366,2369,2023-10-31 10:57:05.172240
3368,2373,2023-10-31 10:57:05.272821
3370,2374,2023-10-31 10:57:05.383153
3371,2375,2023-10-31 10:57:05.493305
3348,2359,2023-10-31 10:57:05.603991
3347,2357,2023-10-31 10:57:05.704115
3346,2357,2023-10-31 10:57:05.804345
3347,2358,2023-10-31 10:57:05.904939
3347,2358,2023-10-31 10:57:06.025270
3347,2358,2023-10-31 10:57:06.125448
3347,2357,2023-10-31 10:57:06.235580
3348,2358,2023-10-31 10:57:06.336129
3339,2352,2023-10-31 10:57:06.436385
3339,2352,2023-10-31 10:57:06.546610
3339,2352,2023-10-31 10:57:06.667232
3337,2351,2023-10-31 10:57:06.777458
3335,2349,2023-10-31 10:57:06.877674
3334,2348,2023-10-31 10:57:06.977841
3334,2348,2023-10-31 10:57:07.078404
3381,2383,2023-10-31 10:57:07.182330
3380,2382,2023-10-31 10:57:07.288923
3379,2382,2023-10-31 10:57:07.389480
3379,2381,2023-10-31 10:57:07.499737
3379,2382,2023-10-31 10:57:07.611639
3380,2382,2023-10-31 10:57:07.730114
3381,2383,2023-10-31 10:57:07.850673
3376,2379,2023-10-31 10:57:07.971073
3379,2381,2023-10-31 10:57:08.081205
3382,2383,2023-10-31 10:57:08.236176
3386,2386,2023-10-31 10:57:08.306305
3387,2387,2023-10-31 10:57:08.366436
3388,2387,2023-10-31 10:57:08.427296
3388,2387,2023-10-31 10:57:08.497321
3388,2388,2023-10-31 10:57:08.557511
3389,2388,2023-10-31 10:57:08.628298
3389,2389,2023-10-31 10:57:08.688210
3389,2389,2023-10-31 10:57:08.748491
3412,2407,2023-10-31 10:57:08.818682
3414,2408,2023-10-31 10:57:08.889272
3415,2409,2023-10-31 10:57:08.969642
3414,2408,2023-10-31 10:57:09.040825
3414,2408,2023-10-31 10:57:09.109942
3412,2407,2023-10-31 10:57:09.190498
3410,2405,2023-10-31 10:57:09.260758
3409,2405,2023-10-31 10:57:09.340973
3409,2405,2023-10-31 10:57:09.421587
3409,2404,2023-10-31 10:57:09.491821
3408,2404,2023-10-31 10:57:09.561938
3407,2403,2023-10-31 10:57:09.632263
3406,2403,2023-10-31 10:57:09.702757
3406,2403,2023-10-31 10:57:09.772897
3452,2442,2023-10-31 10:57:11.060404
3451,2440,2023-10-31 10:57:11.123861
3449,2439,2023-10-31 10:57:11.184076
3447,2438,2023-10-31 10:57:11.244307
3446,2437,2023-10-31 10:57:11.314464
3445,2436,2023-10-31 10:57:11.385016
3443,2434,2023-10-31 10:57:11.455288
3442,2433,2023-10-31 10:57:11.535543
3440,2432,2023-10-31 10:57:11.606419
3437,2430,2023-10-31 10:57:11.676409
3435,2428,2023-10-31 10:57:11.756610
3432,2426,2023-10-31 10:57:11.826749
3439,2427,2023-10-31 10:57:11.908250
3441,2428,2023-10-31 10:57:11.997725
3443,2430,2023-10-31 10:57:12.077830
3447,2434,2023-10-31 10:57:12.148374
3452,2438,2023-10-31 10:57:12.219408
3456,2441,2023-10-31 10:57:12.288877
3460,2444,2023-10-31 10:57:12.369021
3462,2446,2023-10-31 10:57:12.449629
3463,2447,2023-10-31 10:57:12.530313
3464,2448,2023-10-31 10:57:12.610103
3464,2449,2023-10-31 10:57:12.690657
